id_venta,ticket_total,num_items,num_lineas,num_unique_products,id_cliente,fecha,medio_pago,ciudad,fecha_alta,antiguedad_cliente_dias,mes,dia_semana,ticket_alto
105,36413.0,17,5,5,1,2024-02-06,transferencia,Carlos Paz,2023-01-01,401,2,1,1
106,7710.0,3,1,1,82,2024-03-24,transferencia,Alta Gracia,2023-03-23,367,3,6,0
107,38570.0,14,4,4,14,2024-05-21,efectivo,Carlos Paz,2023-01-14,493,5,1,1
108,11608.0,4,1,1,9,2024-03-25,tarjeta,Carlos Paz,2023-01-09,441,3,0,0
109,24434.0,9,4,4,64,2024-06-04,transferencia,Villa Maria,2023-03-05,457,6,1,0
110,35856.0,9,3,2,92,2024-05-19,efectivo,Alta Gracia,2023-04-02,413,5,6,1
111,22576.0,13,4,4,48,2024-02-12,efectivo,Cordoba,2023-02-17,360,2,0,0
112,15308.0,13,5,5,28,2024-01-19,tarjeta,Cordoba,2023-01-28,356,1,4,0
113,10864.0,5,2,2,98,2024-03-08,transferencia,Cordoba,2023-04-08,335,3,4,0
114,27829.0,12,5,5,16,2024-05-05,qr,Rio Cuarto,2023-01-16,475,5,6,0
115,33310.0,15,4,4,3,2024-02-16,transferencia,Rio Cuarto,2023-01-03,409,2,4,1
116,35631.0,16,5,5,25,2024-03-18,qr,Rio Cuarto,2023-01-25,418,3,0,1
117,28840.0,6,2,2,72,2024-03-14,tarjeta,Cordoba,2023-03-13,367,3,3,0
118,37474.0,15,5,4,84,2024-02-09,efectivo,Cordoba,2023-03-25,321,2,4,1
119,3725.0,5,1,1,51,2024-02-07,qr,Rio Cuarto,2023-02-20,352,2,2,0
120,7855.0,5,1,1,72,2024-04-21,tarjeta,Cordoba,2023-03-13,405,4,6,0
103,21329.852005872763,12,4,4,39,2024-03-11,efectivo,Alta Gracia,2023-02-08,393,3,0,0
52,35933.000780790426,14,4,4,5,2024-05-10,tarjeta,Cordoba,2023-01-05,494,5,4,1
93,26699.65497119746,11,3,3,90,2024-01-29,efectivo,Rio Cuarto,2023-03-31,304,1,0,0
15,9557.035696177385,3,1,1,56,2024-06-27,transferencia,Rio Cuarto,2023-02-25,485,6,3,0
107,40679.1796933453,14,4,4,14,2024-05-21,efectivo,Carlos Paz,2023-01-14,490,5,1,1
72,10485.156074053471,9,3,3,26,2024-02-17,qr,Alta Gracia,2023-01-26,385,2,5,0
61,20993.07490862947,6,2,2,27,2024-06-01,efectivo,Rio Cuarto,2023-01-27,487,6,5,0
21,26418.335950141256,6,2,2,10,2024-06-19,transferencia,Cordoba,2023-01-10,528,6,2,0
103,21116.718107062574,12,4,4,39,2024-03-11,efectivo,Alta Gracia,2023-02-08,395,3,0,0
83,23081.573191079122,11,4,4,91,2024-05-28,efectivo,Mendiolaza,2023-04-01,426,5,1,0
87,11499.136428899525,4,2,2,100,2024-04-20,qr,Cordoba,2023-04-10,378,4,5,0
75,44964.14451991731,9,2,2,61,2024-05-23,qr,Rio Cuarto,2023-03-02,442,5,3,1
75,44784.11310191399,9,2,2,61,2024-05-23,qr,Rio Cuarto,2023-03-02,450,5,3,1
88,39914.26381691262,14,3,3,37,2024-06-21,efectivo,Mendiolaza,2023-02-06,499,6,4,1
117,28602.096544605487,6,2,2,72,2024-03-14,tarjeta,Cordoba,2023-03-13,368,3,3,0
100,50969.604685190076,14,5,5,69,2024-06-08,qr,Rio Cuarto,2023-03-10,456,6,5,1
104,24911.43567068978,10,3,2,86,2024-06-17,qr,Cordoba,2023-03-27,446,6,0,0
24,15374.167075455973,7,2,2,55,2024-06-14,tarjeta,Mendiolaza,2023-02-24,474,6,4,0
3,18276.390285853937,5,3,3,20,2024-01-13,tarjeta,Rio Cuarto,2023-01-20,354,1,5,0
22,16087.142761794248,9,3,3,64,2024-05-08,transferencia,Villa Maria,2023-03-05,438,5,2,0
53,1069.2023587670842,1,1,1,56,2024-01-25,tarjeta,Rio Cuarto,2023-02-25,331,1,3,0
2,34643.208126548736,17,5,5,49,2024-03-17,qr,Rio Cuarto,2023-02-18,395,3,6,1
88,41713.1535266428,14,3,3,37,2024-06-21,efectivo,Mendiolaza,2023-02-06,503,6,4,1
108,11502.273804293369,4,1,1,9,2024-03-25,tarjeta,Carlos Paz,2023-01-09,447,3,0,0
30,35217.55540445396,12,4,4,93,2024-03-03,efectivo,Alta Gracia,2023-04-03,334,3,6,1
38,51473.38707229163,16,4,4,56,2024-05-29,tarjeta,Rio Cuarto,2023-02-25,458,5,2,1
2,35349.0998886545,17,5,5,49,2024-03-17,qr,Rio Cuarto,2023-02-18,401,3,6,1
64,6036.687002833065,4,2,2,58,2024-03-07,qr,Rio Cuarto,2023-02-27,369,3,3,0
60,31577.78989221279,11,5,5,81,2024-04-04,transferencia,Carlos Paz,2023-03-22,377,4,3,0
21,25512.50365867547,6,2,2,10,2024-06-19,transferencia,Cordoba,2023-01-10,522,6,2,0
33,37935.39708771295,9,4,4,6,2024-02-13,efectivo,Villa Maria,2023-01-06,402,2,1,1
76,21940.485213201016,11,4,4,75,2024-05-15,tarjeta,Rio Cuarto,2023-03-16,427,5,2,0
58,4276.378393559127,3,2,2,48,2024-02-04,transferencia,Cordoba,2023-02-17,350,2,6,0
22,15308.711417748502,9,3,3,64,2024-05-08,transferencia,Villa Maria,2023-03-05,427,5,2,0
108,12430.657437361882,4,1,1,9,2024-03-25,tarjeta,Carlos Paz,2023-01-09,441,3,0,0
89,7387.034616867637,2,1,1,17,2024-01-18,tarjeta,Villa Maria,2023-01-17,365,1,3,0
49,38875.179706558534,16,5,4,5,2024-06-02,efectivo,Cordoba,2023-01-05,511,6,6,1
91,13823.535597720047,3,1,1,39,2024-02-19,efectivo,Alta Gracia,2023-02-08,376,2,0,0
59,17544.277381963373,8,3,3,62,2024-04-28,tarjeta,Carlos Paz,2023-03-03,420,4,6,0
42,15277.14089252939,7,3,3,12,2024-04-18,tarjeta,Alta Gracia,2023-01-12,463,4,3,0
92,12745.671171457177,6,2,2,42,2024-02-09,transferencia,Alta Gracia,2023-02-11,365,2,4,0
60,31589.816674149984,11,5,5,81,2024-04-04,transferencia,Carlos Paz,2023-03-22,377,4,3,0
80,22375.829628659365,13,3,3,54,2024-03-25,efectivo,Alta Gracia,2023-02-23,404,3,0,0
15,9856.235295991559,3,1,1,56,2024-06-27,transferencia,Rio Cuarto,2023-02-25,484,6,3,0
62,16002.724773586866,7,2,2,100,2024-05-01,transferencia,Cordoba,2023-04-10,388,5,2,0
62,16710.86519210931,7,2,2,100,2024-05-01,transferencia,Cordoba,2023-04-10,386,5,2,0
47,17743.77689882176,8,2,2,52,2024-05-04,transferencia,Rio Cuarto,2023-02-21,432,5,5,0
62,15314.38235481035,7,2,2,100,2024-05-01,transferencia,Cordoba,2023-04-10,389,5,2,0
51,2839.5527512467975,1,1,1,39,2024-02-18,efectivo,Alta Gracia,2023-02-08,376,2,6,0
108,11641.701287818314,4,1,1,9,2024-03-25,tarjeta,Carlos Paz,2023-01-09,438,3,0,0
55,2168.664905969769,4,1,1,100,2024-01-04,qr,Cordoba,2023-04-10,269,1,3,0
116,35705.39431568723,16,5,5,25,2024-03-18,qr,Rio Cuarto,2023-01-25,420,3,0,1
64,5807.256565213824,4,2,2,58,2024-03-07,qr,Rio Cuarto,2023-02-27,368,3,3,0
3,19707.456476875173,5,3,3,20,2024-01-13,tarjeta,Rio Cuarto,2023-01-20,354,1,5,0
101,1897.1294292308662,4,1,1,72,2024-03-28,efectivo,Cordoba,2023-03-13,377,3,3,0
51,2735.2424242464504,1,1,1,39,2024-02-18,efectivo,Alta Gracia,2023-02-08,374,2,6,0
7,14078.434003119417,3,1,1,92,2024-05-06,efectivo,Alta Gracia,2023-04-02,402,5,0,0
21,26507.02607449309,6,2,2,10,2024-06-19,transferencia,Cordoba,2023-01-10,532,6,2,0
73,6905.356963974051,5,3,3,42,2024-05-16,transferencia,Alta Gracia,2023-02-11,464,5,3,0
39,43998.38521570229,14,4,4,5,2024-03-05,efectivo,Cordoba,2023-01-05,422,3,1,1
18,32586.0295240808,17,5,5,81,2024-06-11,qr,Carlos Paz,2023-03-22,441,6,1,0
4,15969.644230172908,7,2,2,36,2024-02-27,transferencia,Mendiolaza,2023-02-05,383,2,1,0
89,8252.831800713304,2,1,1,17,2024-01-18,tarjeta,Villa Maria,2023-01-17,369,1,3,0
60,30342.12848386249,11,5,5,81,2024-04-04,transferencia,Carlos Paz,2023-03-22,376,4,3,0
14,35254.035529272594,13,4,4,67,2024-04-18,qr,Alta Gracia,2023-03-08,410,4,3,1
114,28894.739446193413,12,5,5,16,2024-05-05,qr,Rio Cuarto,2023-01-16,473,5,6,0
9,10134.41462043687,4,1,1,86,2024-01-20,efectivo,Cordoba,2023-03-27,300,1,5,0
90,17449.853187381184,6,2,2,46,2024-01-08,qr,Alta Gracia,2023-02-15,332,1,0,0
53,1330.8401496396186,2,1,1,56,2024-01-25,tarjeta,Rio Cuarto,2023-02-25,334,1,3,0
2,34278.70708657759,17,5,5,49,2024-03-17,qr,Rio Cuarto,2023-02-18,390,3,6,1
84,26868.725583060637,9,2,2,72,2024-01-02,efectivo,Cordoba,2023-03-13,300,1,1,0
92,13146.55148206881,6,2,2,42,2024-02-09,transferencia,Alta Gracia,2023-02-11,364,2,4,0
111,22461.66814097497,13,4,4,48,2024-02-12,efectivo,Cordoba,2023-02-17,364,2,0,0
60,30810.420534076737,11,5,5,81,2024-04-04,transferencia,Carlos Paz,2023-03-22,378,4,3,0
71,37630.50750187652,12,4,4,40,2024-06-02,qr,Rio Cuarto,2023-02-09,482,6,6,1
44,20327.80851980865,6,3,3,21,2024-02-21,efectivo,Alta Gracia,2023-01-21,401,2,2,0
8,34544.37000955763,14,3,3,66,2024-01-06,transferencia,Villa Maria,2023-03-07,306,1,5,1
47,16863.582903668193,8,2,2,52,2024-05-04,transferencia,Rio Cuarto,2023-02-21,441,5,5,0
35,23135.136699813855,10,3,3,61,2024-05-30,efectivo,Rio Cuarto,2023-03-02,453,5,3,0
78,35346.0546505524,13,5,5,12,2024-04-29,qr,Alta Gracia,2023-01-12,476,4,0,1
81,9034.868004712329,2,1,1,49,2024-03-09,transferencia,Rio Cuarto,2023-02-18,383,3,5,0
36,11166.853448906473,6,2,2,5,2024-06-25,tarjeta,Cordoba,2023-01-05,534,6,1,0
50,60484.53182095122,19,5,5,8,2024-01-09,transferencia,Carlos Paz,2023-01-08,367,1,1,1
104,24781.530302185023,10,3,2,86,2024-06-17,qr,Cordoba,2023-03-27,451,6,0,0
4,15954.226117586139,7,2,2,36,2024-02-27,transferencia,Mendiolaza,2023-02-05,385,2,1,0
2,33775.12257922037,17,5,5,49,2024-03-17,qr,Rio Cuarto,2023-02-18,393,3,6,1
6,35309.20330441862,10,4,4,91,2024-05-05,transferencia,Mendiolaza,2023-04-01,402,5,6,1
54,35342.48594826746,9,4,4,1,2024-03-26,tarjeta,Carlos Paz,2023-01-01,446,3,1,1
106,6610.27963355166,3,1,1,82,2024-03-24,transferencia,Alta Gracia,2023-03-23,368,3,6,0
4,16717.674270234646,7,2,2,36,2024-02-27,transferencia,Mendiolaza,2023-02-05,388,2,1,0
54,35729.06809100106,9,4,4,1,2024-03-26,tarjeta,Carlos Paz,2023-01-01,454,3,1,1
93,27456.66315033163,10,3,3,90,2024-01-29,efectivo,Rio Cuarto,2023-03-31,301,1,0,0
63,44744.353125094894,14,4,4,25,2024-06-19,tarjeta,Rio Cuarto,2023-01-25,511,6,2,1
18,32464.738509247887,17,5,5,81,2024-06-11,qr,Carlos Paz,2023-03-22,446,6,1,0
90,17687.0757177042,6,2,2,46,2024-01-08,qr,Alta Gracia,2023-02-15,326,1,0,0
44,20296.384214065998,5,3,3,21,2024-02-21,efectivo,Alta Gracia,2023-01-21,393,2,2,0
34,14495.897908499754,6,2,2,58,2024-01-13,transferencia,Rio Cuarto,2023-02-27,321,1,5,0
74,11487.196544684832,7,3,3,56,2024-04-26,efectivo,Rio Cuarto,2023-02-25,425,4,4,0
62,15577.65025783685,7,2,2,100,2024-05-01,transferencia,Cordoba,2023-04-10,386,5,2,0
100,50474.61083348926,14,5,5,69,2024-06-08,qr,Rio Cuarto,2023-03-10,452,6,5,1
14,36125.5421902024,14,4,4,67,2024-04-18,qr,Alta Gracia,2023-03-08,405,4,3,1
95,20498.56825977484,5,2,2,26,2024-02-25,qr,Alta Gracia,2023-01-26,394,2,6,0
48,30689.027838065645,10,3,3,84,2024-01-26,qr,Cordoba,2023-03-25,312,1,4,0
15,10346.508600631585,3,1,1,56,2024-06-27,transferencia,Rio Cuarto,2023-02-25,484,6,3,0
72,10432.529876580658,9,3,3,26,2024-02-17,qr,Alta Gracia,2023-01-26,387,2,5,0
78,34794.190920527806,13,5,5,12,2024-04-29,qr,Alta Gracia,2023-01-12,473,4,0,1
87,10840.706334198017,4,2,2,100,2024-04-20,qr,Cordoba,2023-04-10,372,4,5,0
62,16463.734814537893,7,2,2,100,2024-05-01,transferencia,Cordoba,2023-04-10,383,5,2,0
40,5196.80771074194,2,1,1,15,2024-05-13,efectivo,Cordoba,2023-01-15,482,5,0,0
85,13386.116048060096,6,2,2,42,2024-01-23,transferencia,Alta Gracia,2023-02-11,350,1,1,0
80,22841.535766983252,13,3,3,54,2024-03-25,efectivo,Alta Gracia,2023-02-23,400,3,0,0
109,24983.95010629188,9,4,4,64,2024-06-04,transferencia,Villa Maria,2023-03-05,456,6,1,0
82,17756.977425820955,10,4,4,19,2024-01-25,tarjeta,Mendiolaza,2023-01-19,374,1,3,0
111,21626.152641653163,13,4,4,48,2024-02-12,efectivo,Cordoba,2023-02-17,358,2,0,0
53,708.0629225123944,2,1,1,56,2024-01-25,tarjeta,Rio Cuarto,2023-02-25,331,1,3,0
24,14793.459255552061,7,2,2,55,2024-06-14,tarjeta,Mendiolaza,2023-02-24,478,6,4,0
26,8615.063205851251,3,2,2,49,2024-01-23,efectivo,Rio Cuarto,2023-02-18,341,1,1,0
89,7581.230132896223,2,1,1,17,2024-01-18,tarjeta,Villa Maria,2023-01-17,366,1,3,0
60,30393.436862075272,11,5,5,81,2024-04-04,transferencia,Carlos Paz,2023-03-22,377,4,3,0
109,23487.148423250932,9,4,4,64,2024-06-04,transferencia,Villa Maria,2023-03-05,454,6,1,0
41,5120.8108420340695,2,2,2,29,2024-03-08,tarjeta,Alta Gracia,2023-01-29,399,3,4,0
29,19038.07263534182,10,5,5,49,2024-02-20,qr,Rio Cuarto,2023-02-18,370,2,1,0
15,10357.38252358713,3,1,1,56,2024-06-27,transferencia,Rio Cuarto,2023-02-25,486,6,3,0
45,23037.33001393174,11,5,5,15,2024-01-19,efectivo,Cordoba,2023-01-15,375,1,4,0
65,43437.84561506022,16,4,4,30,2024-04-30,qr,Alta Gracia,2023-01-30,454,4,1,1
89,5997.355760144423,1,1,1,17,2024-01-18,tarjeta,Villa Maria,2023-01-17,363,1,3,0
71,38075.10344703602,12,4,4,40,2024-06-02,qr,Rio Cuarto,2023-02-09,479,6,6,1
9,8811.208941457695,4,1,1,86,2024-01-20,efectivo,Cordoba,2023-03-27,299,1,5,0
88,41169.31072777746,14,3,3,37,2024-06-21,efectivo,Mendiolaza,2023-02-06,504,6,4,1
1,3145.6477191766608,1,1,1,62,2024-06-19,tarjeta,Carlos Paz,2023-03-03,472,6,2,0
108,11664.027115641722,4,1,1,9,2024-03-25,tarjeta,Carlos Paz,2023-01-09,436,3,0,0
8,35434.89714350734,14,3,3,66,2024-01-06,transferencia,Villa Maria,2023-03-07,308,1,5,1
88,42167.74202065625,14,3,3,37,2024-06-21,efectivo,Mendiolaza,2023-02-06,503,6,4,1
63,47209.405784194234,14,4,4,25,2024-06-19,tarjeta,Rio Cuarto,2023-01-25,510,6,2,1
11,8629.191320388922,4,3,3,20,2024-04-10,qr,Rio Cuarto,2023-01-20,446,4,2,0
115,32325.65902697102,15,4,4,3,2024-02-16,transferencia,Rio Cuarto,2023-01-03,408,2,4,1
81,10486.50437000657,3,1,1,49,2024-03-09,transferencia,Rio Cuarto,2023-02-18,389,3,5,0
8,35559.33726609417,14,3,3,66,2024-01-06,transferencia,Villa Maria,2023-03-07,302,1,5,1
35,24063.26638559513,10,3,3,61,2024-05-30,efectivo,Rio Cuarto,2023-03-02,453,5,3,0
35,22594.288978774865,11,3,3,61,2024-05-30,efectivo,Rio Cuarto,2023-03-02,454,5,3,0
33,37374.52450408423,9,4,4,6,2024-02-13,efectivo,Villa Maria,2023-01-06,401,2,1,1
5,15509.432525042475,4,1,1,56,2024-06-11,tarjeta,Rio Cuarto,2023-02-25,474,6,1,0
106,8053.995170450584,3,1,1,82,2024-03-24,transferencia,Alta Gracia,2023-03-23,366,3,6,0
103,21483.345821926396,12,4,4,39,2024-03-11,efectivo,Alta Gracia,2023-02-08,395,3,0,0
41,3946.360831935458,2,2,2,29,2024-03-08,tarjeta,Alta Gracia,2023-01-29,402,3,4,0
28,35305.62736040576,11,5,5,52,2024-05-20,qr,Rio Cuarto,2023-02-21,457,5,0,1
7,12520.633497271234,3,1,1,92,2024-05-06,efectivo,Alta Gracia,2023-04-02,402,5,0,0
73,8244.716166887862,5,3,3,42,2024-05-16,transferencia,Alta Gracia,2023-02-11,458,5,3,0
72,11413.107818612596,9,3,3,26,2024-02-17,qr,Alta Gracia,2023-01-26,382,2,5,0
